id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1462839212051341322,1462837819890491394,2021-11-22 12:43:41 EST,2021-11-22,12:43:41,-0500,373151147,ojrcenter,Oregon Justice Resource Center,,We're fighting to end Oregon's death penalty. Join us if you believe capital punishment has no place in our state.  https://t.co/clM7vXWhPu #orpol #deathpenalty  https://t.co/fU6ZKSQKaY,en,[],['https://ojrc.info/death-penalty'],['https://pbs.twimg.com/media/FE0MLh9VcAEuaYT.jpg'],0,3,9,"['orpol', 'deathpenalty']",[],https://twitter.com/OJRCenter/status/1462839212051341322,False,,1,https://pbs.twimg.com/media/FE0MLh9VcAEuaYT.jpg,,,,,,,[],,,,
1462837826362527746,1462837826362527746,2021-11-22 12:38:10 EST,2021-11-22,12:38:10,-0500,796214700337807361,codestaked,lucaskeller.eth,,The #DeathPenalty should only be used in #extreme situations. Give the #turpinkids the #PeaceOfMind they #deserve after a life of #abuse @SupKarenSpiegel.. do your #job in your #oppressive #divisive #state of #California for #once. #Donate to @jayceedugard #fund!!,en,"[{'screen_name': 'supkarenspiegel', 'name': 'supervisor karen spiegel', 'id': '1088209817523544065'}, {'screen_name': 'jayceedugard', 'name': 'jaycee dugard', 'id': '705095212058554368'}]",[],[],0,0,0,"['deathpenalty', 'extreme', 'turpinkids', 'peaceofmind', 'deserve', 'abuse', 'job', 'oppressive', 'divisive', 'state', 'california', 'once', 'donate', 'fund']",[],https://twitter.com/codestaked/status/1462837826362527746,False,,0,,,,,,,,[],,,,
1462835545793564674,1462835545793564674,2021-11-22 12:29:06 EST,2021-11-22,12:29:06,-0500,1298473704016535555,deathrowwatcher,Death Row Watcher,,"Texas — A jury, on Thursday, sentenced #TyroneWilliams to death after about four hours of deliberating. Williams was convicted of the 2016 murder of Nicole Gonzales and her mother, Vicki Gonzales.  #deathpenalty #Texas",en,[],[],[],0,0,1,"['tyronewilliams', 'deathpenalty', 'texas']",[],https://twitter.com/DeathRowWatcher/status/1462835545793564674,False,,0,,,,,,,,[],,,,
1462832050885517322,1462832050885517322,2021-11-22 12:15:13 EST,2021-11-22,12:15:13,-0500,1250918754499932161,leaddriversa,@Ň€VƗŁŁ€ ƤŘƗŇŞŁØØ 🇮🇱 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇬🇷,,Bring back the #deathpenalty!!! And extreme Arab methods used to combat #theft that includes your hands and a poes sharp knife.,en,[],[],[],0,0,0,"['deathpenalty', 'theft']",[],https://twitter.com/LeadDriverSA/status/1462832050885517322,False,,0,,,,,,,,[],,,,
1462829822468673543,1462829822468673543,2021-11-22 12:06:22 EST,2021-11-22,12:06:22,-0500,1039147308531834880,sean_usmc,Sean_farley,,The death penalty is a barbaric practice and needs to be ended immediately!  #endthedeathpenalty #nodeathpenalty #deathpenalty,en,[],[],[],0,0,1,"['endthedeathpenalty', 'nodeathpenalty', 'deathpenalty']",[],https://twitter.com/sean_usmc/status/1462829822468673543,False,,0,,,,,,,,[],,,,
1462809797200429060,1462809797200429060,2021-11-22 10:46:48 EST,2021-11-22,10:46:48,-0500,175847438,moodyforelpaso,Joe Moody,,"I was reluctant to comment on this, but I haven’t been able to stop thinking about it all week. It’s wrong, and I have to speak out. This kind of behavior is part of why I’m against the #DeathPenalty. The state killing someone should never be pushed as a cheap tactic. #txlege 1/3",en,[],[],[],4,14,28,"['deathpenalty', 'txlege']",[],https://twitter.com/moodyforelpaso/status/1462809797200429060,False,https://twitter.com/ktsmtv/status/1462058183258779659,0,,,,,,,,[],,,,
1462767617429618710,1462767617429618710,2021-11-22 07:59:11 EST,2021-11-22,07:59:11,-0500,19290985,reprieve,Reprieve,,Migrant workers continue to be vulnerable to the #DeathPenalty. What are the risk factors that make them vulnerable?  Join us and @migrantcare to discuss this and more tomorrow (November 23) at 9:00 in the UK and 16:00 in Indonesia here 👉🏾  https://t.co/1FiRVWWDcJ,en,"[{'screen_name': 'migrantcare', 'name': 'migrant care', 'id': '399937202'}]",['https://bit.ly/Report-Launching'],[],0,10,6,['deathpenalty'],[],https://twitter.com/Reprieve/status/1462767617429618710,False,https://twitter.com/LBHMasyarakat/status/1462733188715872260,0,,,,,,,,[],,,,
1462953091532308483,1462953091532308483,2021-11-22 20:16:12 EST,2021-11-22,20:16:12,-0500,97273575,clarknt67,"🌹 Clark, a proud citizen of GoFundMe nation",,"Had to swerve into traffic because motorist considers the bike lane their parking spot. A moment after I passed same motorist opened his door without looking, because of course he did, and clobbered another cyclist. #DeathPenalty",en,[],[],[],0,1,3,['deathpenalty'],[],https://twitter.com/Clarknt67/status/1462953091532308483,False,,0,,,,,,,,[],,,,
1462930157249961988,1462930157249961988,2021-11-22 18:45:04 EST,2021-11-22,18:45:04,-0500,2562414097,seonlee84,Heather S-L Smith 💇🏻‍♀️,,"My heart goes out to those families of the deceased and hurt. What a HORRIFIC thing to happen!!! I hope those children well wishes and get out of the ICU, comas and the bad state their in. ❤️ PLEASE SHARE THIS STORY!! #WaukeshaStrong #DeathPenalty",en,[],[],[],0,0,0,"['waukeshastrong', 'deathpenalty']",[],https://twitter.com/SeonLee84/status/1462930157249961988,False,https://twitter.com/abc/status/1462866169921261575,0,,,,,,,,[],,,,
1462928481944223749,1462928481944223749,2021-11-22 18:38:24 EST,2021-11-22,18:38:24,-0500,53237132,raulbrando,Raul Brando Ramotar,,"Pending charges against Lowlife terrorist darrel brooks! Numerous evidence circulating, confirms the devastation left by this inferior fool and Yet Biden is not convinced! Sleeping Joe needs to wake up and smell that leftist shit! #BidenDisaster #Wakesha #Wisconsin #DeathPenalty  https://t.co/exxQr4oUMP",en,[],[],['https://pbs.twimg.com/media/FE1dsmCXwAcD-_g.jpg'],0,0,0,"['bidendisaster', 'wakesha', 'wisconsin', 'deathpenalty']",[],https://twitter.com/RaulBrando/status/1462928481944223749,False,,1,https://pbs.twimg.com/media/FE1dsmCXwAcD-_g.jpg,,,,,,,[],,,,
